tax_order,category,sci_name,comm_name,exotic,count,country,state,lat,lon,dates,observer,media,gui,comments
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,Cauca,2.578136,-77.900592,7/29/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492550557,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. With Diego. Trail towards Firme from the airport, staying fairly close to the start of the trail in secondary forest."
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,Cauca,2.578136,-77.900592,7/29/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854802,"Manacus2022_With Diego. Trail towards Firme from the airport, staying fairly close to the start of the trail in secondary forest."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,Cauca,2.576318,-77.896687,7/20/21,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1204165571,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,Cauca,2.578045,-77.900587,7/30/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488750140,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding the edge of the big clear cut near Guapi airport. Also checking nets during this time. With Sebastian and guide Cisto."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,Cauca,2.578045,-77.900587,7/30/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507663108,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,Cauca,2.578136,-77.900592,7/29/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492550553,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. With Diego. Trail towards Firme from the airport, staying fairly close to the start of the trail in secondary forest."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,Cauca,2.578136,-77.900592,7/29/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854798,"Manacus2022_With Diego. Trail towards Firme from the airport, staying fairly close to the start of the trail in secondary forest."
10459,species,"Ramphastos brevis","Choco Toucan","",1,Colombia,Cauca,2.5778145,-77.8992464,7/31/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1489423616,""
10459,species,"Ramphastos brevis","Choco Toucan","",1,Colombia,Cauca,2.578045,-77.900587,7/30/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488756326,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding the edge of the big clear cut near Guapi airport. Also checking nets during this time. With Sebastian and guide Cisto."
10459,species,"Ramphastos brevis","Choco Toucan","",1,Colombia,Cauca,2.578045,-77.900587,7/30/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507663142,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker","",1,Colombia,Cauca,2.578045,-77.900587,7/30/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488750170,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding the edge of the big clear cut near Guapi airport. Also checking nets during this time. With Sebastian and guide Cisto."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker","",1,Colombia,Cauca,2.578045,-77.900587,7/30/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507663136,""
