Especie (nombrecient’fico),orden
Tinamus major,39
Crypturellus soui,56
Dendrocygna autumnalis,221
Cairina moschata,397
Spatula discors,431
Rhynchortyx cinctus,916
Columba livia,1842
Patagioenas cayennensis,1914
Patagioenas speciosa,1920
Patagioenas plumbea,1953
Patagioenas subvinacea,1960
Patagioenas goodsoni,1974
Columbina cruziana,2243
Claravis pretiosa,2246
Leptotila verreauxi,2282
Leptotila pallida,2325
Zenaida auriculata,2357
Crotophaga ani,2964
Crotophaga sulcirostris,2965
Tapera naevia,2967
Piaya cayana,3150
Chordeiles acutipennis,3433
Nyctidromus albicollis,3486
Nyctibius griseus,3695
Streptoprocne zonaris,3752
Chaetura pelagica,3788
Chaetura spinicaudus,3818
Panyptila cayennensis,4074
Florisuga mellivora,4130
Glaucis aeneus,4143
Phaethornis yaruqui,4161
Phaethornis guy,4162
Phaethornis striigularis,4212
Heliothryx barroti,4270
Anthracothorax nigricollis,4286
Discosura conversii,4339
Chalybura urochrysia,4836
Thalurania colombica,4849
Amazilia tzacatl,4981
Polyerata rosenbergi,5060
Polyerata amabilis,5061
Aramides wolfi,5295
Aramides axillaris,5297
Porphyrio martinica,5372
Laterallus albigularis,5507
Laterallus exilis,5513
Aramus guarauna,5534
Vanellus chilensis,5716
Charadrius wilsonia,5762
Charadrius semipalmatus,5770
Charadrius vociferus,5793
Bartramia longicauda,5852
Numenius phaeopus,5854
Calidris alba,5922
Calidris bairdii,5945
Calidris minutilla,5948
Calidris subruficollis,5951
Calidris pusilla,5956
Calidris mauri,5957
Phalaropus tricolor,6020
Actitis macularius,6026
Tringa solitaria,6029
Creagrus furcatus,6253
Leucophaeus atricilla,6295
Leucophaeus pipixcan,6299
Larus delawarensis,6326
Gelochelidon nilotica,6493
Chlidonias niger,6503
Thalasseus maximus,6555
Hydrobates tethys,6741
Ardenna creatopus,6868
Puffinus subalaris,6878
Fregata magnificens,6976
Sula nebouxii,6994
Sula variegata,6997
Sula leucogaster,6998
Sula sula,7005
Anhinga anhinga,7015
Nannopterum brasilianum,7077
Pelecanus occidentalis,7105
Ardea herodias,7168
Ardea cocoi,7182
Ardea alba,7200
Egretta thula,7229
Egretta caerulea,7233
Egretta tricolor,7235
Bubulcus ibis,7247
Butorides virescens,7261
Butorides striata,7267
Nycticorax nycticorax,7305
Nyctanassa violacea,7318
Cochlearius cochlearius,7334
Mesembrinibis cayennensis,7356
Phimosus infuscatus,7357
Coragyps atratus,7412
Cathartes aura,7416
Pandion haliaetus,7429
Chondrohierax uncinatus,7463
Elanoides forficatus,7486
Spizaetus tyrannus,7627
Rostrhamus sociabilis,7700
Harpagus bidentatus,7705
Ictinia plumbea,7710
Accipiter bicolor,7914
Geranospiza caerulescens,7984
Buteogallus anthracinus,7995
Buteogallus urubitinga,8007
Rupornis magnirostris,8017
Trogon massena,9023
Trogon comptus,9028
Trogon melanurus,9030
Trogon chionurus,9042
Baryphthengus martii,9362
Megaceryle torquata,9777
Chloroceryle aenea,9789
Notharchus hyperrhynchus,9919
Notharchus pectoralis,9925
Notharchus tectus,9927
Malacoptila panamensis,9966
Pteroglossus torquatus,10407
Ramphastos ambiguus,10446
Ramphastos brevis,10459
Melanerpes pucherani,10668
Melanerpes rubricapillus,10680
Campephilus gayaquilensis,11049
Dryocopus lineatus,11229
Celeus loricatus,11262
Milvago chimachima,11437
Herpetotheres cachinnans,11443
Falco rufigularis,11559
Falco peregrinus,11575
Touit dilectissimus,12236
Pyrilia pulchra,12303
Pionus menstruus,12328
Amazona autumnalis,12347
Amazona farinosa,12396
Psittacara wagleri,12615
Taraba major,12876
Thamnophilus atrinucha,12944
Epinecrophylla fulviventris,13093
Myrmotherula pacifica,13131
Myrmotherula axillaris,13139
Microrhopias quixensis,13217
Cercomacroides tyrannina,13305
Cercomacra nigricans,13331
Poliocrania exsul,13414
Sipia berlepschi,13426
Gymnopithys bicolor,13470
Hylophylax naevioides,13495
Dendrocincla fuliginosa,14034
