tax_order,category,sci_name,comm_name,exotic,count,country,state,lat,lon,dates,observer,media,gui,comments
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Nariño",2.604152,-77.929198,7/28/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507556291,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. In Buenavista for the meeting with the consejo. With Eamon, Diego, and Sebastian."
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Nariño",2.604152,-77.929198,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507643444,""
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Nariño",2.6426477,-78.0650711,4/29/17,obsr461795,0,URN:CornellLabOfOrnithology:EBIRD:OBS493878672,""
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Nariño",2.6426477,-78.0650711,4/29/17,obsr472286,0,URN:CornellLabOfOrnithology:EBIRD:OBS493737473,""
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Nariño",2.6426477,-78.0650711,4/29/17,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS493570220,""
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Nariño",2.653057,-78.286562,6/19/04,obsr235630,0,URN:CornellLabOfOrnithology:EBIRD:OBS290514982,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,"Nariño",2.5480874,-77.9398083,10/22/20,obsr504374,0,URN:CornellLabOfOrnithology:EBIRD:OBS1000889689,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,"Nariño",2.5808959,-77.9410282,5/5/22,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS1423012695,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,"Nariño",2.5808959,-77.9410282,5/5/22,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS1423016612,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,"Nariño",2.6426477,-78.0650711,7/19/19,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS791939970,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,"Nariño",2.6426477,-78.0650711,7/5/19,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS784967903,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Nariño",2.581362,-77.92214,7/28/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492552427,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. With Diego. Walking the trail between Firmé and Guapi- stopped this list at the Cauca border."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Nariño",2.581362,-77.92214,7/28/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854863,"Manacus2022_With Diego. Walking the trail between Firmé and Guapi- stopped this list at the Cauca border."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488188499,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Trail between Firme and Guapi. With Sebastian and guide Julian. Ended list after setting up second set of nets."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507642363,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",3,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488180970,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. List heading back towards town and checking nets. With Sebastian for a few minutes here and there but mostly just with guide Johann. Forest very quiet. Stopped list when I reached forest edge near town of Firme."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",3,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507642342,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",4,Colombia,"Nariño",2.5808959,-77.9410282,5/6/22,obsr164410,0,URN:CornellLabOfOrnithology:EBIRD:OBS1418109874,"Sendero atrás de la sede de Chanzará. Fincas de plátano y yuca atravesadas por remanentes de bosque inundable ""guandal"" con algunos árboles de Nato y predominancia de Naidí"
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",4,Colombia,"Nariño",2.5808959,-77.9410282,5/6/22,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS1422947694,""
10447,issf,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Nariño",2.583782,-77.912486,10/31/21,obsr1226496,0,URN:CornellLabOfOrnithology:EBIRD:OBS1295970331,""
10459,species,"Ramphastos brevis","Choco Toucan","",1,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488180974,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. List heading back towards town and checking nets. With Sebastian for a few minutes here and there but mostly just with guide Johann. Forest very quiet. Stopped list when I reached forest edge near town of Firme."
10459,species,"Ramphastos brevis","Choco Toucan","",1,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507642346,""
10459,species,"Ramphastos brevis","Choco Toucan","",2,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488188496,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Trail between Firme and Guapi. With Sebastian and guide Julian. Ended list after setting up second set of nets."
10459,species,"Ramphastos brevis","Choco Toucan","",2,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507642360,""
10459,species,"Ramphastos brevis","Choco Toucan","",3,Colombia,"Nariño",2.581362,-77.92214,7/28/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492552425,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. With Diego. Walking the trail between Firmé and Guapi- stopped this list at the Cauca border."
10459,species,"Ramphastos brevis","Choco Toucan","",3,Colombia,"Nariño",2.581362,-77.92214,7/28/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854861,"Manacus2022_With Diego. Walking the trail between Firmé and Guapi- stopped this list at the Cauca border."
10459,species,"Ramphastos brevis","Choco Toucan","",5,Colombia,"Nariño",2.6426477,-78.0650711,10/29/18,obsr472286,0,URN:CornellLabOfOrnithology:EBIRD:OBS679436363,""
