tax_order,category,sci_name,comm_name,exotic,count,country,state,lat,lon,dates,observer,media,gui,comments
10000,species,"Monasa morphoeus","White-fronted Nunbird","",1,Colombia,"Chocó",5.6187647,-77.4280934,5/4/19,obsr954691,0,URN:CornellLabOfOrnithology:EBIRD:OBS753203086,"Recorrido para el GBD Chocó de regreso del cerro Carrizalito por el río ""Terco"" y playa hasta el Ecolodge El Cantil"
10036,species,"Galbula ruficauda","Rufous-tailed Jacamar","",1,Colombia,"Chocó",5.619053,-77.429061,8/26/16,obsr758132,0,URN:CornellLabOfOrnithology:EBIRD:OBS426797894,"Observaciones alrededor de la cabaña de Playa Terco y sendero por el río Terco. Selva tropical muy húmeda del Pacífico. Observacion de especies endémicas.  <br />Submitted from eBird for iOS, version 1.2.6 Build 75"
10059,species,"Jacamerops aureus","Great Jacamar","",1,Colombia,"Chocó",5.6245531,-77.4174136,5/3/22,obsr1093981,1,URN:CornellLabOfOrnithology:EBIRD:OBS1413405862,""
10310,species,"Capito maculicoronatus","Spot-crowned Barbet","",1,Colombia,"Chocó",5.6241466,-77.4194989,9/4/99,obsr477997,0,URN:CornellLabOfOrnithology:EBIRD:OBS972563093,""
10310,species,"Capito maculicoronatus","Spot-crowned Barbet","",3,Colombia,"Chocó",5.6008,-77.44218,7/15/22,obsr169881,1,URN:CornellLabOfOrnithology:EBIRD:OBS1480692950,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. After setting up nets. With Salma, Mori, and Callito."
10310,species,"Capito maculicoronatus","Spot-crowned Barbet","",X,Colombia,"Chocó",5.5729759,-77.5024188,3/2/22,obsr161341,0,URN:CornellLabOfOrnithology:EBIRD:OBS1360118838,"Birds seen/heard during March 2 – 6, 2002 at El Amargal. Birding was not the primary activity in this visit. Lots of rain and cloudy days."
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.5931359,-77.4963355,12/15/14,obsr524900,0,URN:CornellLabOfOrnithology:EBIRD:OBS338215041,""
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.5996931,-77.4434678,7/13/22,obsr803013,0,URN:CornellLabOfOrnithology:EBIRD:OBS1485268006,""
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.6008,-77.44218,7/14/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1480697007,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Con Sebastian en la finca de Salma."
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.6008,-77.44218,7/14/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1504401832,""
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.603758,-77.437378,7/17/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1481741353,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Sendero cuatro encantos. After setting up nets by Phaethornis lek. With Salma. Stopped along trail for breakfast at 930. Walking very slow, doing playback for various species. Recording. Joined at end by Diego, Valentina, Mori, and Callito (Diego had his own list running). Started at nets, walked up trail, ended count back at nets."
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.615531,-77.428772,7/15/22,obsr156275,0,URN:CornellLabOfOrnithology:EBIRD:OBS1483981902,"Quebrada El Terco. Delete all T. Florida and change to t johannae ---Woke at 430 and started walking at 5. Hit the high tide and had to ford the first river then swim my stuff across the second river close to termales in two trips. Got to the hospedaje where GuereGuere gave us a tip on the Bucco. Walked up the stream to the cascada and back. Good flock where we had the C. berlepschi yesterday.--Very beautiful morning, sun shining, fluffy clouds overhead, perfect temperature. --Started walking back around 830 making it the Vijo at 910. Finished packing and we pushed Carlos’ lancha in the sea and took off for Jurbida"
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.6187647,-77.4280934,5/4/19,obsr954691,0,URN:CornellLabOfOrnithology:EBIRD:OBS753203087,"Recorrido para el GBD Chocó de regreso del cerro Carrizalito por el río ""Terco"" y playa hasta el Ecolodge El Cantil"
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.619053,-77.429061,12/21/20,obsr44754,0,URN:CornellLabOfOrnithology:EBIRD:OBS1039886363,""
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.6241466,-77.4194989,1/17/16,obsr194014,0,URN:CornellLabOfOrnithology:EBIRD:OBS577356425,""
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.6241466,-77.4194989,1/17/16,obsr839749,0,URN:CornellLabOfOrnithology:EBIRD:OBS580482077,""
