tax_order,category,sci_name,comm_name,exotic,count,country,state,lat,lon,dates,observer,media,gui,comments
10310,species,"Capito maculicoronatus","Spot-crowned Barbet","",3,Colombia,"Chocó",5.6008,-77.44218,7/15/22,obsr169881,1,URN:CornellLabOfOrnithology:EBIRD:OBS1480692950,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. After setting up nets. With Salma, Mori, and Callito."
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.6008,-77.44218,7/14/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1480697007,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Con Sebastian en la finca de Salma."
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.6008,-77.44218,7/14/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1504401832,""
10407,species,"Pteroglossus torquatus","Collared Aracari","",1,Colombia,"Chocó",5.603758,-77.437378,7/17/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1481741353,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Sendero cuatro encantos. After setting up nets by Phaethornis lek. With Salma. Stopped along trail for breakfast at 930. Walking very slow, doing playback for various species. Recording. Joined at end by Diego, Valentina, Mori, and Callito (Diego had his own list running). Started at nets, walked up trail, ended count back at nets."
10407,species,"Pteroglossus torquatus","Collared Aracari","",4,Colombia,"Chocó",5.616211,-77.429894,7/16/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1486652588,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022."
10407,species,"Pteroglossus torquatus","Collared Aracari","",4,Colombia,"Chocó",5.616211,-77.429894,7/16/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1480640791,Manacus2022_
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,"Chocó",5.574783,-77.495739,7/20/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1483079698,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. FYI had one earlier observation this morning: an incidental on hike out to nets on Camino to Rio Arusisito. It was a recording of a high pitched song. Started current list at far nets on Camino to Rio Arusisito. With Sammy as guide. Stopped list when torrential rain started."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,"Chocó",5.598741,-77.445042,7/13/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1485332565,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,"Chocó",5.6026791,-77.4427408,7/13/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1485333094,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,"Chocó",5.6033574,-77.4351574,7/17/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1481750891,Manacus2022_
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",1,Colombia,"Chocó",5.603758,-77.437378,7/17/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1481741360,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Sendero cuatro encantos. After setting up nets by Phaethornis lek. With Salma. Stopped along trail for breakfast at 930. Walking very slow, doing playback for various species. Recording. Joined at end by Diego, Valentina, Mori, and Callito (Diego had his own list running). Started at nets, walked up trail, ended count back at nets."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Chocó",5.5712682,-77.5018555,7/19/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498845104,Manacus2022_
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Chocó",5.572016,-77.498527,7/18/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1481970787,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. El Amargal: camino hasta cuchilla de Arusí. With Armancio as guide. Light rain and super quiet overall. After walking up the trail a few hundred meters we turned back and I ended the list a little short of the El Amargal buildings when it was getting dark."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Chocó",5.5747881,-77.4981992,7/19/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1484895809,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Chocó",5.6033574,-77.4351574,7/11/21,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1199322243,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Chocó",5.603758,-77.437378,7/12/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1480702458,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Walked east from the town of Termales, reached the ""termales spa del pacifico"", and then took the Camino Cuatro Encantos. We walked only a few hundred meters along the camino and then turned back. Scouting for Manacus. With Sebastian, Maira, and guides. Ebird track for this list is WAY off due to user error--accidentally continued a list from a previous site. Have since fixed error, except for lingering eBird track."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Chocó",5.603758,-77.437378,7/12/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1497532072,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Chocó",5.6121815,-77.4346994,7/17/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1485333058,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Chocó",5.614659,-77.424991,7/16/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1504613188,Manacus2022_
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Chocó",5.614659,-77.424991,7/16/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1480643163,Manacus2022_
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",2,Colombia,"Chocó",5.616211,-77.429894,7/15/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1480636746,Manacus2022_
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",3,Colombia,"Chocó",5.5747497,-77.4988792,7/18/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1484890072,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan","",3,Colombia,"Chocó",5.5996931,-77.4434678,7/16/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1480701377,""
