tax_order,category,sci_name,comm_name,count,country,state,lat,lon,dates,observer,comments
33909,species,"Tangara inornata","Plain-colored Tanager",1,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
15770,species,"Todirostrum cinereum","Common Tody-Flycatcher",1,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
30999,species,"Euphonia xanthogaster","Orange-bellied Euphonia",2,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
32544,species,"Cacicus uropygialis","Scarlet-rumped Cacique",4,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
33654,species,"Ramphocelus flammigerus","Flame-rumped Tanager",4,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
32528,species,"Psarocolius wagleri","Chestnut-headed Oropendola",6,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
33177,species,"Myiothlypis fulvicauda","Buff-rumped Warbler",2,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
12328,species,"Pionus menstruus","Blue-headed Parrot",9,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
33789,species,"Thraupis episcopus","Blue-gray Tanager",4,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
4239,species,"Doryfera ludovicae","Green-fronted Lancebill",1,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
26278,species,"Troglodytes aedon","House Wren",2,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
33813,species,"Thraupis palmarum","Palm Tanager",3,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
33269,species,"Mitrospingus cassinii","Dusky-faced Tanager",3,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
7160,species,"Tigrisoma fasciatum","Fasciated Tiger-Heron",1,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
16330,species,"Sayornis nigricans","Black Phoebe",1,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
7416,species,"Cathartes aura","Turkey Vulture",2,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
16783,species,"Tyrannus melancholicus","Tropical Kingbird",5,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
1827,species,"Columba livia","Rock Pigeon",50,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
4130,species,"Florisuga mellivora","White-necked Jacobin",2,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
34631,species,"Saltator maximus","Buff-throated Saltator",2,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
4286,species,"Anthracothorax nigricollis","Black-throated Mango",1,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
10680,species,"Melanerpes rubricapillus","Red-crowned Woodpecker",1,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
26249,species,"Microcerculus marginatus","Scaly-breasted Wren",1,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
7412,species,"Coragyps atratus","Black Vulture",8,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
33878,species,"Stilpnia larvata","Golden-hooded Tanager",2,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
10459,species,"Ramphastos brevis","Choco Toucan",2,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
23198,species,"Progne chalybea","Gray-breasted Martin",2,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
16718,species,"Myiozetetes cayanensis","Rusty-margined Flycatcher",2,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
16553,species,"Colonia colonus","Long-tailed Tyrant",1,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
4981,species,"Amazilia tzacatl","Rufous-tailed Hummingbird",1,Colombia,"Valle del Cauca",3.843527,-76.793252,2022-07-11,obsr436508,Manacus2022_
33654,species,"Ramphocelus flammigerus","Flame-rumped Tanager",1,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Diego Cueva, Maira Holguín, and Sebastian Pérez-Peña. Stationary count from the balcony next to our rooms overlooking the river. A large, fruiting Cecropia was drawing in a steady stream of frugivores."
