tax_order,category,sci_name,comm_name,count,country,state,lat,lon,dates,observer,comments
10000,species,"Monasa morphoeus","White-fronted Nunbird",1,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-24,obsr164915,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Eamon, Valentina, and Victor. List from ~230 meters elevation at the road to ~500 meters at the clearing where we ended the list."
10000,species,"Monasa morphoeus","White-fronted Nunbird",1,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-24,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Eamon, Valentina, and Victor. List from ~230 meters elevation at the road to ~500 meters at the clearing where we ended the list."
10000,species,"Monasa morphoeus","White-fronted Nunbird",5,Colombia,"Valle del Cauca",3.8687749,-76.8317861,2022-07-23,obsr792981,""
10036,species,"Galbula ruficauda","Rufous-tailed Jacamar",1,Colombia,"Valle del Cauca",3.8535890,-76.8561210,2022-07-22,obsr436508,Manacus2022_Lluvia
10310,species,"Capito maculicoronatus","Spot-crowned Barbet",1,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-24,obsr164915,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Eamon, Valentina, and Victor. List from ~230 meters elevation at the road to ~500 meters at the clearing where we ended the list."
10310,species,"Capito maculicoronatus","Spot-crowned Barbet",1,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-24,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Eamon, Valentina, and Victor. List from ~230 meters elevation at the road to ~500 meters at the clearing where we ended the list."
10310,species,"Capito maculicoronatus","Spot-crowned Barbet",2,Colombia,"Valle del Cauca",3.8685128,-76.8315208,2022-07-24,obsr792981,""
10310,species,"Capito maculicoronatus","Spot-crowned Barbet",2,Colombia,"Valle del Cauca",3.8687461,-76.8317710,2022-07-23,obsr792981,""
10310,species,"Capito maculicoronatus","Spot-crowned Barbet",3,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birding with Andre, Sebastian, and Yenifer in the San Cipriano reserve. Worked the road starting from the entrance, and did one loop trail through the forest twice. Sunny and warm, lots of birds."
10310,species,"Capito maculicoronatus","Spot-crowned Barbet",3,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding with Andre, Sebastian, and Jennifer in the San Cipriano reserve. Worked the road starting from the entrance, and did one loop trail through the forest twice. Sunny and warm, lots of birds."
10310,species,"Capito maculicoronatus","Spot-crowned Barbet",3,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr792981,""
10321,species,"Capito quinticolor","Five-colored Barbet",2,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birding with Andre, Sebastian, and Yenifer in the San Cipriano reserve. Worked the road starting from the entrance, and did one loop trail through the forest twice. Sunny and warm, lots of birds."
10321,species,"Capito quinticolor","Five-colored Barbet",2,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding with Andre, Sebastian, and Jennifer in the San Cipriano reserve. Worked the road starting from the entrance, and did one loop trail through the forest twice. Sunny and warm, lots of birds."
10321,species,"Capito quinticolor","Five-colored Barbet",2,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr792981,""
10333,spuh,"Capito sp.","Capito sp.",1,Colombia,"Valle del Cauca",3.8548700,-76.8173200,2022-07-25,obsr164915,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. List starting from wooden observation platform (~565 m elevation; 3.85487, -76.81732) near second cell tower and ending a little higher in elevation but several hundred meters back on the trail to Triana (before descending steeply). With Eamon and for a little bit with guide Gustavo."
10407,species,"Pteroglossus torquatus","Collared Aracari",1,Colombia,"Valle del Cauca",3.8548700,-76.8173200,2022-07-25,obsr164915,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. List starting from wooden observation platform (~565 m elevation; 3.85487, -76.81732) near second cell tower and ending a little higher in elevation but several hundred meters back on the trail to Triana (before descending steeply). With Eamon and for a little bit with guide Gustavo."
